CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8609","CPEN 371","W3","WI: Computer Ethics","2","  WI","Lec","MW","1600-1650","LUTR 210","Casey-Rutland, R; Casey-Rutland, H","0","Closed",
"8610","CPEN 414","1","Computer Architecture","3","","Lec","TR","1330-1445","LUTR 372","Gerousis, C P.","19","Open",
"8611","CPEN 422","1","Microprocessors","3","","Lec","MW","1600-1715","LUTR 204","Wang, D","7","Open",
"8612","CPEN 498","W1","WI:Comput Engnrng Capstone","1 - 3","  WI","Ind","MWF","1100-1150","LUTR 322","Riedl, A","2","Open",
"8613","CPSC 110","1","Introduction to Computing","3","  AIIF","Lec","MWF","1400-1450","LUTR 258","Davis, K","1","Open",
"8614","CPSC 110","2","Introduction to Computing","3","  AIIF","Lec","MW","1800-1915","LUTR 258","Hawkins, K L.","0","Closed",
"8615","CPSC 110","3","Introduction to Computing","3","  AIIF","Lec","MW","1930-2045","LUTR 258","Hawkins, K L.","0","Closed",
"8616","CPSC 110","4","Introduction to Computing","3","  AIIF","Lec","MW","2100-2215","LUTR 258","Hawkins, K L.","1","Open",
"8617","CPSC 110","5","Introduction to Computing","3","  AIIF","Lec","MWF","1500-1550","LUTR 258","Hughes, L","1","Open",
"8619","CPSC 125","1","Foundations of Computer Scienc","3","  AIIF","Lec","TR","0800-0915","LUTR 236","Perkins, K","0","Closed",
"8620","CPSC 125","2","Foundations of Computer Scienc","3","  AIIF","Lec","TR","0930-1045","LUTR 236","Perkins, K","0","Closed",
"8621","CPSC 150","1","Computers and Programming I","3","  AIIF","Lec","MWF","1300-1350","LUTR 236","Lambert, L","0","Closed",
"8622","CPSC 150","2","Computers and Programming I","3","  AIIF","Lec","MWF","1500-1550","LUTR 236","Lambert, L","1","Open",
"8623","CPSC 150","3","Computers and Programming I","3","  AIIF","Lec","MWF","1400-1450","LUTR 236","Conner, D C.","0","Closed",
"8624","CPSC 150","4","Computers and Programming I","3","  AIIF","Lec","MWF","1000-1050","LUTR 236","Lambert, L","0","Closed",
"8625","CPSC 150L","1","Computers/Programming I Lab","1","  AIIF","Lab","W","1100-1245","LUTR 236","Conner, D","2","Open",
"8626","CPSC 150L","2","Computers/Programming I Lab","1","  AIIF","Lab","W","1800-1945","LUTR 323","Jones, M","3","Open",
"8627","CPSC 150L","3","Computers/Programming I Lab","1","  AIIF","Lab","T","1330-1515","LUTR 323","Whitten, Z Cutler; Conner, D C.","1","Open",
"8628","CPSC 150L","4","Computers/Programming I Lab","1","  AIIF","Lab","M","1800-1945","LUTR 323","Jones, M","0","Closed",
"8629","CPSC 215","1","Software Pkgs-Busn Applcations","3","  AIIF","Lec","MW","1930-2045","LUTR 236","Leybold, A","1","Open",
"8630","CPSC 215","2","Software Pkgs-Busn Applcations","3","  AIIF","Lec","MW","1800-1915","LUTR 109","Connolly, P E.","0","Closed",
"8631","CPSC 215","3","Software Pkgs-Busn Applcations","3","  AIIF","Lec","TR","1630-1745","LUTR 109","McRoberts, D A.","0","Closed",
"8632","CPSC 215","4","Software Pkgs-Busn Applcations","3","  AIIF","Lec","MWF","0900-0950","LUTR 109","Baird, A","1","Open",
"8633","CPSC 215","5","Software Pkgs-Busn Applcations","3","  AIIF","Lec","MWF","1000-1050","LUTR 109","Baird, A","0","Closed",
"8634","CPSC 215","6","Software Pkgs-Busn Applcations","3","  AIIF","Lec","MWF","1100-1150","LUTR 109","Baird, A A.","1","Open",
"8635","CPSC 215","7","Software Pkgs-Busn Applcations","3","  AIIF","Lec","MWF","1300-1350","LUTR 109","Zhang, M","0","Closed",
"8636","CPSC 215","8","Software Pkgs-Busn Applcations","3","  AIIF","Lec","MW","1600-1715","LUTR 323","Zhang, M","0","Closed",
"8637","CPSC 216","1","Multimedia and Web Publishing","3","  AIIF","Lec","MWF","0800-0850","LUTR 109","Baird, A A.","0","Closed",
"8638","CPSC 250","1","Computers and Programming II","3","  AIIF","Lec","MW","1800-1915","LUTR 236","Johnson, M","1","Open",
"8639","CPSC 250","2","Computers and Programming II","3","  AIIF","Lec","TR","1800-1915","LUTR 236","Johnson, M","0","Closed",
"8640","CPSC 250","3","Computers and Programming II","3","  AIIF","Lec","TR","1100-1215","LUTR 236","Givens, R","0","Closed",
"8641","CPSC 250","4","Computers and Programming II","3","  AIIF","Lec","TR","1630-1745","LUTR 236","Givens, R M.","0","Closed",
"8642","CPSC 250L","1","Computers/Programming II Lab","1","  AIIF","Lab","R","1330-1515","LUTR 323","McCarthy, M Thomas; Givens, R M.","0","Closed",
"8643","CPSC 250L","2","Computers/Programming II Lab","1","  AIIF","Lab","W","1400-1545","LUTR 323","Perkins, K","0","Closed",
"8644","CPSC 250L","3","Computers/Programming II Lab","1","  AIIF","Lab","F","1100-1245","LUTR 236","Whitten, Z Cutler; Givens, R M.","0","Closed",
"8645","CPSC 250L","4","Computers/Programming II Lab","1","  AIIF","Lab","F","1400-1545","LUTR 323","Whitten, Z Cutler; Givens, R M.","1","Open",
"8646","CPSC 270","1","Data and File Structures","3","","Lec","MW","1600-1715","LUTR 236","Siochi, A ","7","Open",
"8647","CPSC 270","2","Data and File Structures","3","","Lec","TR","1330-1445","LUTR 236","Siochi, A ","14","Open",
"8649","CPSC 280","1","Intro to Software Engineering","3","","Lec","MWF","0900-0950","LUTR 258","Flores, R A.","3","Open",
"8650","CPSC 335","1","Data Communication Systems","3","","Lec","TR","1930-2045","LUTR 322","Cheney, L E.","0","Closed",
"8651","CPSC 351","1","Info Sys Design/Implementation","3","","Lec","TR","0930-1045","LUTR 258","Koehl, A","17","Open",
"8652","CPSC 360","1","Programming Language Concepts","3","","Lec","MWF","1000-1050","LUTR 258","Flores, R A.","0","Closed",
"8653","CPSC 420","1","Algorithms","3","","Lec","TR","1630-1745","LUTR 322","Collins, M","8","Open",
"8654","CPSC 420","2","Algorithms","3","","Lec","TR","1330-1445","LUTR 322","Collins, M","0","Closed",
"8655","CPSC 425","1","Object Oriented Program &amp; Dsgn","3","","Lec","TR","1930-2045","LUTR 258","Flores, R A.","0","Closed",
"8656","CPSC 428","1","Cryptography &amp; Network Securit","3","","Lec","TR","1500-1615","LUTR 264","Collins, M J.","0","Closed",
"8657","CPSC 445","W1","WI: Information Systems Lab","3","  WI","Ind","MWF","1300-1350","LUTR 258","Koehl, A","6","Open",
"8658","CPSC 450","1","Operating Systems II","3","","Lec","MWF","0900-0950","LUTR 323","Zhang, M","1","Open",
"8659","CPSC 475","1","Android Mobile Computing","3","","Lec","TR","1630-1745","LUTR 258","Perkins, K ","0","Closed",
